Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
juice extractor,,218,,,45,33.3333,60,,1,0,1,0,1,,0,,,,,
RAF electric kettle R-7915,,219,,,6.5,53.8462,10,,1,0,1,0,1,,-11,,,,,
16pcs dinner set,,220,,,17.5,42.8571,25,,1,1,1,0,1,,-9,,,,,
7pcs canister superior ceramic,,221,,,14.5,72.4138,25,,1,0,1,0,1,,-3,,,,,
prokious bread box,,222,,,26,53.8462,40,,1,0,1,0,1,,0,,,,,
4pcs kitchen storage set,,223,,,17,47.0588,25,,1,0,1,0,1,,-3,,,,,
4pcs RL-070 bread box,,224,,,26,53.8462,40,,1,0,1,0,1,,0,,,,,
4pcs bread box,,225,,,18,94.4444,35,,1,0,1,0,1,,-9,,,,,
canister seasoning bottle,,226,,,16.2,54.321,25,,1,0,1,0,1,,-1,,,,,
grater,,227,,,1.75,71.4286,3,,1,0,1,0,1,,-1,,,,,
seasoning bottle 12pcs,,228,,,13,30.7692,17,,1,0,1,0,1,,-2,,,,,
condimentero giratorio,,229,,,7.2,108.3333,15,,1,0,1,0,1,,-1,,,,,
yufel home fashion botique,,230,,,11.5,73.913,20,,1,0,1,0,1,,0,,,,,
dishes & hands bathing set,,231,,,3.5,128.5714,8,,1,0,1,0,1,,-1,,,,,
3pcs bamboo canisters JC7558,,232,,,11,63.6364,18,,1,0,1,0,1,,0,,,,,
electric shower portable outdoor camping shower,,233,,,21,42.8571,30,,1,0,1,0,1,,-1,,,,,
3pcs coffee candy jar,,234,,,12,50,18,,1,0,1,0,1,,0,,,,,
3pcs coffee set,,235,,,9.5,89.4737,18,,1,0,1,0,1,,-1,,,,,
unique germany kitchen set WLD-20,,236,,,12.6,58.7302,20,,1,0,1,0,1,,-2,,,,,
kitchen knife 7pcs kunsion,,237,,,11,54.5455,17,,1,0,1,0,1,,0,,,,,
tripple teapot pack stainless steel,,238,,,8.5,76.4706,15,,1,0,1,0,1,,-4,,,,,
potato chipper,,239,,,5.5,81.8182,10,,1,0,1,0,1,,-4,,,,,
keep warm food container 2.4l,,240,,,8.5,52.9412,13,,1,0,1,0,1,,-2,,,,,
USB electric egg beater,,241,,,4.8,108.3333,10,,1,0,1,0,1,,-1,,,,,
electro master hand mixer,,242,,,6,66.6667,10,,1,0,1,0,1,,-2,,,,,
3pcs trays,,243,,,4,200,12,,1,0,1,0,1,,-4,,,,,
fruit basket &thicken 3 layer,,244,,,5.5,118.1818,12,,1,0,1,0,1,,-2,,,,,
electric lunch box,,245,,,5,100,10,,1,0,1,0,1,,0,,,,,
4pcs plastic round storage box,,246,,,16,56.25,25,,1,0,1,0,1,,0,,,,,
keep warm & cold lunch box,,247,,,9,177.7778,25,,1,0,1,0,1,,0,,,,,
tingli storage health kitchen,,248,,,8,87.5,15,,1,0,1,0,1,,0,,,,,
lunch box kitchen time,,249,,,7,71.4286,12,,1,0,1,0,1,,-1,,,,,
gain star 14pcs lunch box,,250,,,2.5,100,5,,1,0,1,0,1,,-3,,,,,
ray electric blender R-300,,251,,,15,66.6667,25,,1,0,1,0,1,,-5,,,,,
ray multi electric pot R-5401,,252,,,22,59.0909,35,,1,0,1,0,1,,-1,,,,,
ray airfryer 3in1 R-5302,,253,,,32,40.625,45,,1,0,1,0,1,,0,,,,,
wall mount,,254,,,2.1,138.0952,5,,1,0,1,0,1,,-107,,,,,
movable wall mount,,255,,,9,66.6667,15,,1,1,1,0,1,,-2,,,,,
pressure cooker,,256,,,33,36.3636,45,,1,0,1,0,1,,-3,,,,,
silicon set,,257,,,17,47.0588,25,,1,0,1,0,1,,0,,,,,
3pcs cooker box,,258,,,35,28.5714,45,,1,0,1,0,1,,0,,,,,
